NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits
054,O'Connor-Parkview,DR,Dawes Road,2016,100748
094,Wychwood,DT,Davenport,2016,35844
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2016,104307
158,Islington,EA,Eatonville,2016,239521
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2016,47231
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2016,47549
052,Bayview Village,EN,Ethennonnhawahstihnen',2016,175117
120,Clairlea-Birchmount,ES,Eglinton Square,2016,106859
102,Forest Hill North,FH,Forest Hill,2016,108116
165,Harbourfront-CityPlace,FO,Fort York,2016,179705
044,Flemingdon Park,FP,Flemingdon Park,2016,176366
047,Don Valley Village,FV,Fairview,2016,518674
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2016,98279
130,Milliken,GHP,Goldhawk Park,2016,178752
140,Guildwood,GW,Guildwood,2016,59634
016,Stonegate-Queensway,HB,Humber Bay,2016,45753
134,Highland Creek,HC,Highland Creek,2016,63785
048,Hillcrest Village,HIL,Hillcrest,2016,119386
087,High Park-Swansea,HP,High Park,2016,204908
021,Humber Summit,HS,Humber Summit,2016,58365
001,West Humber-Clairville,HW,Humberwood,2016,138709
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2016,158532
070,South Riverdale,JO,Jones,2016,82480
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2016,94976
125,Ionview,KE,Kennedy/Eglinton,2016,87203
019,Long Branch,LB,Long Branch,2016,57181
056,Leaside-Bennington,LE,Leaside,2016,157136
103,Lawrence Park South,LO,Locke,2016,188439
078,Kensington-Chinatown,LS,Lillian H. Smith,2016,331193
062,East End-Danforth,MA,Main Street,2016,113091
146,Malvern East,MAL,Malvern,2016,348081
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2016,231078
126,Dorset Park,MCG,McGregor Park,2016,134570
115,Mount Dennis,MD,Mount Dennis,2016,84210
160,Mimico-Queensway,MI,Mimico Centennial,2016,99232
099,Mount Pleasant East,MP,Mount Pleasant,2016,66950
119,Wexford-Maryvale,MRV,Maryvale,2016,203955
136,West Hill,MS,Morningside,2016,101804
100,Yonge-Eglinton,ND,Northern District,2016,364658
001,West Humber-Clairville,NE,Northern Elms,2016,33536
018,New Toronto,NT,New Toronto,2016,59758
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2016,85169
069,Blake-Jones,PA,Pape/Danforth,2016,236930
171,Junction-Wallace Emerson,PE,Perth/Dupont,2016,46514
085,South Parkdale,PK,Parkdale,2016,352888
073,Moss Park,PL,Parliament Street,2016,238566
095,Annex,PM,Palmerston,2016,107896
133,Centennial Scarborough,PU,Port Union,2016,98121
046,Pleasant View,PV,Pleasant View,2016,78629
070,South Riverdale,QS,Queen/Saulter,2016,66399
068,North Riverdale,RD,Riverdale,2016,195261
007,Willowridge-Martingrove-Richview,RI,Richview,2016,296948
088,High Park North,RN,Runnymede,2016,287359
004,Rexdale-Kipling,RX,Rexdale,2016,51075
078,Kensington-Chinatown,SA,Sanderson,2016,234299
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2016,175181
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2016,30566
074,North St. James Town,SJ,St. James Town,2016,174275
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2016,115189
095,Annex,SP,Spadina Road,2016,86768
116,Steeles,ST,Steeles,2016,168942
087,High Park-Swansea,SW,Swansea Memorial,2016,20580
059,Danforth Village - East York,SWS,S. Walter Stewart,2016,251375
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2016,40691
055,Thorncliffe Park,TH,Thorncliffe,2016,215864
058,Old East York,TOD,Todmorden Room,2016,25246
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2016,1462894
043,Victoria Village,VV,Victoria Village,2016,42402
113,Weston,WE,Weston,2016,99950
022,Humbermede,WP,Woodview Park,2016,54098
129,Agincourt North,WS,Woodside Square,2016,441229
096,Casa Loma,WY,Wychwood,2016,143043
095,Annex,YO,Yorkville,2016,148942
025,Glenfield-Jane Heights,YW,York Woods,2016,209768
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2017,260950
120,Clairlea-Birchmount,ACD,Albert Campbell,2017,356374
020,Alderwood,AD,Alderwood,2017,97083
118,Tam O'Shanter-Sullivan,AG,Agincourt,2017,326233
039,Bedford Park-Nortown,AH,Armour Heights,2017,73163
090,Junction Area,AN,Annette Street,2017,126645
030,Brookhaven-Amesbury,AP,Amesbury Park,2017,25865
150,Fenside-Parkwoods,BB,Brookbanks,2017,73732
154,Oakdale-Beverley Heights,BC,Black Creek,2017,102627
157,Bendale South,BD,Bendale,2017,50632
063,The Beaches,BE,Beaches,2017,213974
032,Englemount-Lawrence,BF,Barbara Frum,2017,248990
083,Dufferin Grove,BL,Bloor/Gladstone,2017,360508
015,Kingsway South,BR,Brentwood,2017,267983
147,L'Amoreaux West,BRW,Bridlewood,2017,429296
146,Malvern East,BUR,Burrows Hall,2017,84899
